Period,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
2050-2055,0.00514915887689,0.000456327954977,0.000452155785717,0.00071066340853,0.00111261807221,0.00145957732196,0.00177310180001,0.00231339476542,0.00310757062317,0.00418114796672,0.0056979017299,0.00777607359659,0.0115878182945,0.0186958487311,0.0308005397781,0.0510138573554,0.117127007526
2055-2060,0.00474522236952,0.000426040259789,0.000420605487337,0.000653722200802,0.00101456158611,0.00132225661686,0.00159393130989,0.00206035440496,0.00275747480792,0.00372670509195,0.00511315216362,0.00700622634566,0.0105014266193,0.0170785600163,0.0284053966853,0.0472007304362,0.107434547428
2060-2065,0.0043850831793,0.000398602459989,0.000390858678114,0.000603463585834,0.000928752910588,0.00120270446221,0.00144266827279,0.00185616920803,0.00247150062609,0.00334025233466,0.00459867328227,0.00632901895244,0.00953483029553,0.0156427334879,0.0262198618899,0.0439766336005,0.101054830796
2065-2070,0.00406245996289,0.000372325779071,0.000362735030995,0.00055640515284,0.000852977746477,0.00109874587629,0.00131004682599,0.00168025355278,0.00223334098463,0.0030131787499,0.00415717817536,0.00573045528093,0.00867351943033,0.0143421100286,0.0242401147632,0.0409951617379,0.098560227799
2070-2075,0.00375822562865,0.000349481679349,0.000338627449069,0.000512824311013,0.000781615602972,0.00100334840237,0.00119259334418,0.00152604075711,0.00202586094056,0.00273384025265,0.00377030923445,0.00520386184246,0.00791050015051,0.0131542218895,0.0223908830629,0.0382541459826,0.0978466151786
2075-2080,0.00349755373364,0.00032972495944,0.000317323650348,0.000478517468068,0.00072214123585,0.000921837606412,0.00109195020624,0.00139455503335,0.00185194440602,0.00250228629089,0.0034542858397,0.00476298601196,0.0072931067689,0.0121837356816,0.0208268719305,0.0358680990163,0.0969949426781
2080-2085,0.00330138872396,0.000310780635818,0.000298685528848,0.000449465106782,0.000676090895322,0.000858796561519,0.00101055403971,0.00128885888355,0.00171322905826,0.00231879017463,0.00320662067505,0.00442755310215,0.00679953041353,0.0114726533481,0.0196684205137,0.0339559875115,0.0951702237879
2085-2090,0.00311855886325,0.000295032756366,0.000282972455483,0.000423735373621,0.000632793112956,0.000799378244483,0.000937606308574,0.00119295001548,0.00158621722846,0.00215268018528,0.00298410046625,0.00412337778602,0.00634891443444,0.0107785726096,0.0186705613392,0.0322599041029,0.0918508394811
2090-2095,0.00294876346593,0.000277783394148,0.000265845792502,0.000398748954764,0.000593821920268,0.000746274690223,0.000869959206814,0.00110566339804,0.00147127143579,0.00200054058447,0.00277924507815,0.00384328906827,0.00593246465245,0.0101249828681,0.0176511290719,0.0307880120525,0.0884318987501
2095-2100,0.00278651871124,0.000262959656564,0.000252103201959,0.000374251799521,0.000555628873203,0.000695974673083,0.00080890930385,0.00102529546205,0.00136482406767,0.00186027420688,0.00258883980703,0.00358612890179,0.00555375764782,0.00952011064848,0.0166870085677,0.0292860654146,0.0870621920435
