Period,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
2030-2035,0.0107172560993,0.00109576845445,0.00102367037043,0.00175508908766,0.00275313439891,0.00345967435029,0.0044125887987,0.00580299201706,0.00721095239584,0.00921972988236,0.0122825587951,0.0163030808236,0.0226820531066,0.0326077910166,0.0479561800916,0.0735206835428,0.153792321243
2035-2040,0.00960900807338,0.000970076661844,0.000933392911604,0.00162781291961,0.00250201189414,0.00306042820391,0.00379998068897,0.00490242020044,0.00609576887707,0.00790156619924,0.0106746907623,0.0143873646586,0.0207404541644,0.031098419288,0.0470341261634,0.0727034211344,0.149983390084
2040-2045,0.00859398939137,0.00085092981184,0.000840467127757,0.0015151749654,0.00230013364954,0.00271849927348,0.0032852642042,0.0041770901656,0.0052239849227,0.00693019388622,0.00953286024092,0.0130140387353,0.0190709377909,0.0292548709395,0.045335235378,0.071353989725,0.14803792024
2045-2050,0.00751490539604,0.000739123708682,0.000757323837971,0.00139895500394,0.00211323412873,0.00243659800219,0.0028602351095,0.00358880752708,0.00451603896367,0.0061143809306,0.00859538639251,0.0118826754258,0.0176753139119,0.0273787563503,0.0429451889319,0.0686904299501,0.144118218379
2050-2055,0.00673360460062,0.000661664560411,0.000682541828338,0.00127945499925,0.00192291263795,0.00219285228783,0.00253267866533,0.00314225964328,0.00396107110005,0.00544147565128,0.00777320859179,0.01086816435,0.0163360627545,0.0255429008331,0.0402599931658,0.0649858138168,0.136728643719
2055-2060,0.00611256714439,0.000597455219555,0.00061117865475,0.00117078560206,0.00175404131853,0.00198972536939,0.00228841009767,0.00282045198027,0.00354284327095,0.00491974529595,0.00710983652749,0.0100268081776,0.0152331666833,0.0239739916268,0.0380185931151,0.0617570931164,0.130318046287
2060-2065,0.00555306144099,0.000539978415418,0.000548564552237,0.00107234910219,0.00160135681464,0.0018073594878,0.00207385701654,0.00255141095598,0.00319266444,0.00447635389111,0.00652438602278,0.00926935876916,0.0142201662255,0.0225865278352,0.036010945501,0.0588286708451,0.125537647342
2065-2070,0.00513986871845,0.000484310123853,0.00048723080881,0.000976866485634,0.0014578900017,0.0016395320056,0.00187703178911,0.00230505651254,0.00288700489249,0.00407324231302,0.00599463995225,0.00856547537204,0.0132482548093,0.0212306757793,0.0341008154543,0.0559250225472,0.123152676534
2070-2075,0.00474746310181,0.000436032152319,0.000435515053544,0.000892873176021,0.00133184264974,0.00149075837462,0.00170440178045,0.00209215171399,0.00262173896824,0.00372896810751,0.00552991427965,0.00795636780501,0.0123994044722,0.0199830477707,0.0323018654099,0.0532820729194,0.121721099301
2075-2080,0.00442525725684,0.000408967974936,0.000410347508827,0.000843286737555,0.00125484586689,0.00139915555755,0.00159043401804,0.00194451273325,0.00243463589158,0.00347431803994,0.00517305345136,0.00745701747668,0.0117245776576,0.018919309433,0.0306511064965,0.0507562819914,0.119832788292
2080-2085,0.00418545232684,0.000388777365689,0.000389470146268,0.000800592462518,0.00118933744455,0.00132032889657,0.00149371639092,0.00181830616051,0.00227204467972,0.00325116986509,0.00485115953912,0.00700388177983,0.0110492285455,0.0179623671938,0.0291309344406,0.0482963403011,0.116984679208
2085-2090,0.0039571453607,0.000368802189971,0.00037065015951,0.000760019374841,0.00112655034343,0.00124748243226,0.00140457797014,0.00170161209505,0.00212329916165,0.00304847107749,0.00455802746506,0.0065863511506,0.0104205902617,0.0170145819421,0.0278014118316,0.0460793428654,0.113005672266
2090-2095,0.00375177732017,0.000349777366381,0.000352372634458,0.000722613936727,0.00106931223117,0.00117972942231,0.00132139900111,0.00159382209836,0.00198705456702,0.00285952968,0.00428318911037,0.00619588750246,0.00982528759736,0.0161045073867,0.0264229009489,0.0441029842013,0.10915227432
2095-2100,0.00355361981503,0.000332108447717,0.000334969914588,0.000684991027032,0.00101152092701,0.00111403166758,0.00124334185504,0.00149308360016,0.00185815348967,0.00268088489924,0.00402600700812,0.00582981013394,0.00927089965197,0.0152421172756,0.0250860275446,0.0420596298285,0.107498620048
